id_campagne,nom,budget,date_debut,statut,canal,pays_cible,date_fin,responsable
CAMP_000001,"Twitter_Acquisition_Q1_0","28826 $",25-04-2022,"terminé","social","France",2024/05/21,"Sophie Martin"
CAMP_000002,"Instagram_Acquisition_Q3_1","30071",20-06-2020,"N/A","Social Media","DE",2024/03/02," Sophie Martin"
CAMP_000003,"TikTok_Promo_BlackFriday_2","25223",18-05-2024,"pause","display","Espagne",03-09-2022,"Inconnu"
CAMP_000004,"SEO_Promo_BlackFriday_3","43787 $",06.01.2021,"terminé","Video","de",10-04-2024,"inconnu"
CAMP_000005,"TikTok_Lancement_Q1_4","15579",2021/02/16,"Draft","","france",,"JEAN DUPONT"
CAMP_000006,"LinkedIn_Conversion_Noel_5","40247",06/06/2021,"INactif","VIDEO","FR",11-09-2022,"Sophie Martin"
CAMP_000007,"Facebook_Fidelite_Q2_6","7160",27-10-2020,"PAUSE","VIDEO","Etats-Unis",07-01-2021,"Inconnu"
CAMP_000008,"Affiliation_Brand_Q2_7","17507",19-09-2020,"INactif","affiliation","fr",sep 2021,"N/A"
CAMP_000009,"LinkedIn_Awareness_BlackFriday_8","non defini",02.01.2021,"ACTIF","Affiliation","allemagne",2021-09-26,""
CAMP_000010,"Google_Soldes_Printemps_9","41664",08-05-2021,"pause","EMAIL","belgique",,"amira faure"
CAMP_000011,"YouTube_Brand_Automne_10","43441",02/22/2023,"Draft","EMAIL","",16-04-2023,"Sophie Martin"
CAMP_000012,"Facebook_Conversion_Printemps_11","49333",07-12-2022,"DRAFT","email","de",06/05/2021,"Jean Dupont"
CAMP_000013,"LinkedIn_Promo_BlackFriday_12","2004",2021/01/25,"aCTIF","social_media","",03-04-2022," Sophie Martin"
CAMP_000014,"Instagram_Lancement_Printemps_13","21911",01-05-2023,"N/A","social","Royaume-Uni",2021/02/03,"n/a"
CAMP_000015,"Email_Acquisition_Automne_14","43532EUR",avr 2023,"En_Cours","Social Media","CH",,""
CAMP_000016,"LinkedIn_Lancement_Q3_15","39848 EUR",2024/12/01,"pause","Affiliation","Fr",jan 2022,"Sophie Martin "
CAMP_000017,"Email_Fidelite_Automne_16","",22-01-2022,"N/A","Mail","USA",2020-08-16,""
CAMP_000018,"Email_Soldes_Q3_17","1.429EUR",fev 2023,"EN_COURS","SEO","FRANCE",2020-12-08,"INCONNU"
CAMP_000019,"SEO_Brand_Q4_18","42457",20.07.2024,"En_Cours","Video","USA",10-11-2023,""
CAMP_000020,"Google_Acquisition_BlackFriday_19","39667",2023/05/03,"en_cours","SOCIAL","Suisse",25-07-2020,"amira faure"
CAMP_000021,"Instagram_Soldes_Ete_20","TBD",27.01.2022,"En cours","Video","BELGIQUE",17-09-2024,"Sophie Martin "
CAMP_000022,"Email_Conversion_Automne_21","49525",10/23/2022,"Actif","mail","",,"inconnu"
CAMP_000023,"LinkedIn_Fidelite_Q2_22","39143EUR",01-08-2022,"en_cours","video","Suisse",17-07-2023,"amira faure"
CAMP_000024,"Google_Lancement_Hiver_23","36624",2023-05-01,"Actif","Social","",nov 2022,"Amira Faure"
CAMP_000025,"LinkedIn_Soldes_Hiver_24","14458,00 EUR",nov 2022,"En cours","SEARCH","Belgique",oct 2024,"Sophie Martin "
CAMP_000026,"LinkedIn_Promo_Noel_25","39072",06/17/2021,"Inactif","","FRANCE",2020-08-25,"inconnu"
CAMP_000027,"Affiliation_Brand_Ete_26","12026",25-12-2022,"INactif","Search","US",10/25/2024,"SOPHIE MARTIN"
CAMP_000028,"Instagram_Acquisition_Q3_27","2712",03.09.2021,"actif","Email","",04/25/2024,""
CAMP_000029,"LinkedIn_Awareness_Q3_28","1971 $",11-12-2024,"Inactif","EMAIL","Italie",12-07-2020,"JEAN DUPONT"
CAMP_000030,"SEO_Brand_BlackFriday_29","11993",25-10-2021,"inactif","DISPLAY","UK",2023/03/09,"Sophie Martin"
CAMP_000031,"Affiliation_Awareness_Noel_30","18641",21-07-2024,"en_cours","Mail","",2021-07-06,"amira faure"
CAMP_000032,"Email_Fidelite_Automne_31","27150EUR",01/10/2022,"INactif","display","BE",2024/08/15,"Sophie Martin"
CAMP_000033,"SEO_Fidelite_Q4_32","22989",2020-04-16,"actif","e-mail","USA",jan 2021,"Sophie Martin "
CAMP_000034,"SEO_Retargeting_Q3_33","40645EUR",23-07-2023,"ACTIF","Social Media","FR",2020/12/09," jean dupont "
CAMP_000035,"SEO_Conversion_Hiver_34","14832",22-02-2024,"INactif","SEARCH","italie",07/19/2021,"Sophie Martin"
CAMP_000036,"Google_Soldes_Q3_35","4780",09-04-2023,"Pause","display","FRANCE",12.10.2020,"n/a"
CAMP_000037,"TikTok_Lancement_Q4_36","37722",2022/05/22,"Pause","DISPLAY","FRANCE",2021/08/05,""
CAMP_000038,"Twitter_Lancement_Printemps_37","36436",,"Inactif","video","Fr",09/25/2023," Sophie Martin"
CAMP_000039,"Google_Promo_Ete_38","6.569EUR",10-05-2021,"Inactif","social_media","SUISSE",,"inconnu"
CAMP_000040,"Email_Soldes_Automne_39","45341",08-03-2020,"actif","display","USA",09-06-2024," jean dupont "
CAMP_000041,"YouTube_Retargeting_Automne_40","TBD",,"en_cours","display","FR",2021/07/27,"sophie martin"
CAMP_000042,"Twitter_Promo_Q2_41","31118",09-07-2022,"draft","","Italie",2024/05/01,"JEAN DUPONT"
CAMP_000043,"Email_Lancement_Q4_42","16153 $",27-10-2022,"DRAFT","","UK",2020/03/26,"Inconnu"
CAMP_000044,"LinkedIn_Acquisition_Hiver_43","25910",21-03-2020,"Actif","SEARCH","ESPAGNE",27.02.2020,"N/A"
CAMP_000045,"YouTube_Fidelite_BlackFriday_44","14748",08.10.2023,"draft","Email","Etats-Unis",2020/12/09,"Karim Leroux"
CAMP_000046,"Facebook_Lancement_Hiver_45","30795EUR",20-02-2022,"inactif","EMAIL","france",,"SOPHIE MARTIN"
CAMP_000005,"Instagram_Soldes_Q2_46","2410",05-06-2024,"ACTIF","Search","ESPAGNE",10/28/2024,"Inconnu"
CAMP_000047,"SEO_Promo_Q3_47","11046",,"aCTIF","Email","USA",10/04/2022,""
CAMP_000048,"Twitter_Acquisition_Automne_48","",11/18/2022,"aCTIF","Display","CH",2020/02/16,""
CAMP_000049,"Google_Fidelite_Printemps_49","2141 EUR",2022/01/07,"Draft","DISPLAY","US",dec 2024," Sophie Martin"
CAMP_000050,"Twitter_Soldes_Q4_50","48623,00 EUR",24-03-2022,"","Social","",23-02-2021,""
CAMP_000051,"Affiliation_Awareness_Q1_51","17717",2023/08/28,"Draft","DISPLAY","Belgique",19-09-2021," Sophie Martin"
CAMP_000052,"SEO_Fidelite_Q3_52","9586",03.03.2020,"En_Cours","display","USA",mar 2021,"JEAN DUPONT"
CAMP_000053,"Google_Fidelite_Q2_53","19624",2024/12/10,"INactif","display","Suisse",05-12-2023,"KARIM LEROUX"
CAMP_000054,"SEO_Lancement_BlackFriday_54","non defini",2021/09/14,"INactif","Search","de",06-08-2021," jean dupont "
CAMP_000055,"Google_Acquisition_Q1_55","46642",04/08/2021,"Pause","affiliation","Espagne",,"Karim Leroux"
CAMP_000056,"YouTube_Lancement_Hiver_56","13135",2022/02/22,"PAUSE","video","Belgique",06.12.2022,"karim.leroux"
