id_interaction,id_lead,type_action,timestamp,canal_interaction,duree_secondes,page_url,note_qualite
INT_00000001,LEAD_0012881,"clic",2025-08-12T14:34:03.469Z,"MOBILE","522","HTTP://www.monsite.fr/blog",""
INT_00000002,LEAD_0020557,"clic",2023-05-02T09:44:21.566Z,"email","199","HTTP://www.monsite.fr/blog",""
INT_00000003,LEAD_0012466,"clic",2023-12-28 12:42:12.910,"email","276","","3"
INT_00000004,LEAD_0005659,"purchase",2023-10-09 19:06:17.383,"N/A","28"," https://www.monsite.fr/accueil ","3/5"
INT_00000005,LEAD_0002713,"clic",2025-06-11T00:53:18.463Z,"Chat","198","","1/5"
INT_00000006,LEAD_0021434,"view",2025-09-04T16:47:41.939Z,"push","176","","4"
INT_00000007,LEAD_0029083,"VUE",16/12/2023,"CHAT","242","/accueil","-2"
INT_00000008,LEAD_0001075,"achat",2025-06-19T17:52:54.016Z,"push","277","https://www.monsite.fr/produits","1"
INT_00000009,LEAD_ORPHAN_93959,"",1756818762778,"live_chat","580"," https://www.monsite.fr/accueil ","3"
INT_00000010,LEAD_0004139,"Achat",2024-03-05T13:42:05.963Z,"Mail","297"," https://www.monsite.fr/accueil ",""
INT_00000011,LEAD_0027034,"view",647884,"mail","530.76","",""
INT_00000012,LEAD_0022045,"achat",2023-04-14T06:08:45.804Z,"EMAIL","-209","www.monsite.fr/promo","5"
INT_00000013,LEAD_0022747,"vue",2025-01-03T21:33:34.742Z,"Email","","https://www.monsite.fr/produits","5"
INT_00000014,LEAD_0017452,"VUE",1691955828,"mobile","0","https://www.MonSite.fr/contact","0"
INT_00000015,LEAD_0021174,"achat",1689050448409,"email","N/A","https://www.monsite.fr/PRODUITS","4"
INT_00000016,LEAD_0004766,"view",2023-08-03T16:22:50.787Z,"email","75","https://www.monsite.fr/produits","4"
INT_00000017,LEAD_0018143,"clic",2025-03-28 16:46:59.403,"Chat","265","https://www.monsite.fr/produits/","moyen"
INT_00000018,LEAD_0006782,"achat",2025-09-19 00:17:33.721,"push","-19","monsite.fr/landing","2"
INT_00000019,LEAD_0026569,"vue",2024-04-22 04:35:20.002,"mobile","N/A","www.monsite.fr/promo","1"
INT_00000020,LEAD_0025215,"vue",,"push","389","https://www.monsite.fr/produits","3"
INT_00000021,LEAD_0013828,"CLIC",2023-05-17 11:05:21.011,"Push","372","","8"
INT_00000022,LEAD_0024788,"CLIC",12/08/2024,"live_chat","N/A","HTTP://www.monsite.fr/blog","1/5"
INT_00000023,LEAD_0016848,"CLIC",1719883593858,"WEB","50","https://www.monsite.fr/PRODUITS","4/5"
INT_00000024,LEAD_0021331,"achat",2024-08-13T04:04:54.691Z,"web","524.14","https://www.monsite.fr/produits","1"
INT_00000025,LEAD_0014733,"CLIC",23/09/2023,"push","9 min","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","1"
INT_00000026,LEAD_0005781,"",1757884173500,"APP","207","HTTP://www.monsite.fr/blog","1.7"
INT_00000027,LEAD_0020752,"click",2025-12-10T21:13:49.713Z,"APP","87","monsite.fr/landing","3"
INT_00000028,LEAD_0019013,"clic",1691024878,"push_notification","418.73","/accueil","1"
INT_00000029,LEAD_0025575,"CLIC",," web ","359","www.monsite.fr/promo","2"
INT_00000030,LEAD_0028574,"purchase",1769737949,"CHAT","0","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","bon"
INT_00000031,LEAD_0015601,"Achat",1747373855740,"CHAT","123.34","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","-4"
INT_00000032,LEAD_0010543,"achat",1725906783,"web","182.52","monsite.fr/landing","N/A"
INT_00000033,LEAD_0025920,"VUE",2024-11-24T07:37:04.300Z,"app","352","https://www.MonSite.fr/contact","4"
INT_00000034,LEAD_0021304,"",1706030770,"Chat","-187","https://www.monsite.fr/accueil","5"
INT_00000035,LEAD_0026764,"CLIC",1770597612,"","58s","monsite.fr/landing","4"
INT_00000036,LEAD_0023474,"vue",1756808567,"","","HTTP://www.monsite.fr/blog",""
INT_00000037,LEAD_0018846,"clic",2023-11-25T20:00:11.297Z,"Web","-191","www.monsite.fr/promo","3"
INT_00000038,LEAD_0004783,"clic",1716282613,"Sms","520","monsite.fr/landing","-5"
INT_00000039,LEAD_0015231,"clic",1699454531,"PUSH","260.79","https://www.MonSite.fr/contact",""
INT_00000040,LEAD_0016912,"Achat",1737722632,"MOBILE","0","/accueil","5"
INT_00000041,LEAD_0025531,"Achat",1760047375074,"CHAT","","","2"
